x (m),u (m/s), V (1/s), T (K), Y
0,0.5,50,300,1
0.0001,0.495,50.0017,300,1
0.0002,0.49,50.0034,300,1
0.0003,0.484999,50.0051,300,1
0.0004,0.479999,50.0068,300,1
0.0005,0.474998,50.0084,300,1
0.0006,0.469997,50.01,300,1
0.0007,0.464996,50.0117,300,1
0.0008,0.459995,50.0132,300,1
0.0009,0.454993,50.0148,300,1
0.001,0.449992,50.0164,300,1
0.0011,0.44499,50.0179,300,1
0.0012,0.439988,50.0195,300,1
0.0013,0.434986,50.021,300,1
0.0014,0.429984,50.0225,300,1
0.0015,0.424982,50.0239,300,1
0.0016,0.419979,50.0254,300,1
0.0017,0.414976,50.0268,300,1
0.0018,0.409974,50.0283,300,1
0.0019,0.404971,50.0297,300,1
0.002,0.399968,50.0311,300,1
0.0021,0.394965,50.0324,300,1
0.0022,0.389961,50.0338,300,1
0.0023,0.384958,50.0351,300,1
0.0024,0.379954,50.0364,300,1
0.0025,0.374951,50.0377,300,1
0.0026,0.369947,50.039,300,1
0.0027,0.364943,50.0403,300,1
0.0028,0.359939,50.0416,300,1
0.0029,0.354934,50.0428,300,1
0.003,0.34993,50.044,300,1
0.0031,0.344926,50.0452,300,1
0.0032,0.339921,50.0464,300,1
0.0033,0.334916,50.0476,300,1
0.0034,0.329912,50.0487,300,1
0.0035,0.324907,50.0498,300,1
0.0036,0.319902,50.051,300,1
0.0037,0.314896,50.0521,300,1
0.0038,0.309891,50.0531,300,1
0.0039,0.304886,50.0542,300,1
0.004,0.29988,50.0552,300,1
0.0041,0.294875,50.0563,300,1
0.0042,0.289869,50.0573,300,1
0.0043,0.284863,50.0583,300,1
0.0044,0.279857,50.0593,300,1
0.0045,0.274851,50.0602,300,1
0.0046,0.269845,50.0612,300,1
0.0047,0.264839,50.0621,300,1
0.0048,0.259833,50.063,300,1
0.0049,0.254827,50.0639,300,1
0.005,0.24982,50.0648,300,1
0.0051,0.244814,50.0656,300,1
0.0052,0.239807,50.0665,300,1
