x (m),Qdot (J/m3 s),N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,H2O2,C2H2,C2H3,CH2CHO,CH2CO,CH2OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O
0,1.46227e-27,0,0,0,-3.84252e-70,1.7536e-172,6.22796e-71,4.48951e-119,-1.05272e-67,1.39143e-34,2.03802e-144,-5.61444e-129,-1.48116e-199,-1.48524e-122,2.99167e-45,-1.62477e-109,-3.25767e-73,-2.11733e-296,-1.98646e-115,2.16676e-34,3.85301e-188,5.00196e-98,1.49159e-87,-2.88714e-117,-2.62398e-173,-1.34052e-107,-1.17604e-144,-3.31389e-162,6.17527e-45,-2.14448e-74,-9.58527e-143,0,1.0184e-102,-2.31564e-66,-1.35835e-67
0.0001,1.46227e-27,0,0,0,8.43715e-98,0,3.01087e-92,5.29632e-143,1.54721e-96,1.39143e-34,3.6483e-80,3.12929e-149,2.15293e-241,4.50105e-143,2.99167e-45,2.03807e-138,3.31886e-80,0,2.09051e-136,2.16676e-34,1.81536e-123,5.01269e-98,1.49159e-87,3.00116e-86,6.00159e-222,5.26231e-128,1.48629e-166,8.15424e-184,6.17527e-45,3.74228e-95,2.64914e-185,0,2.90376e-88,4.03102e-86,1.64937e-88
0.0002,1.46227e-27,0,0,0,3.41862e-97,0,1.22184e-91,8.70865e-142,6.26912e-96,1.39143e-34,1.48051e-79,1.26989e-148,3.54545e-240,1.82656e-142,2.99167e-45,8.25804e-138,1.34682e-79,0,8.48349e-136,2.16676e-34,7.36691e-123,5.01269e-98,1.49159e-87,1.2179e-85,9.86834e-221,2.13549e-127,2.44763e-165,1.34285e-182,6.17527e-45,1.51865e-94,4.36262e-184,0,1.17837e-87,1.63582e-85,6.69328e-88
0.0003,1.46227e-27,0,0,0,1.26554e-79,0,-9.45476e-84,1.13561e-117,1.2595e-68,1.39143e-34,4.8904e-79,-4.72359e-140,2.04871e-226,-5.48836e-134,2.99167e-45,1.08462e-111,4.4488e-79,-1.23523e-305,-2.21601e-123,2.16676e-34,2.43343e-122,5.01275e-98,1.49159e-87,4.02294e-85,-1.54123e-187,-2.46669e-119,-1.25181e-156,-8.75445e-174,6.17527e-45,-3.45605e-86,-3.07872e-157,0,-6.79176e-69,2.43583e-67,-1.02557e-79
0.0004,1.46227e-27,0,0,0,3.53303e-96,0,1.2633e-90,9.30556e-140,6.47895e-95,1.39143e-34,1.53075e-78,1.31299e-147,3.79018e-238,1.88855e-141,2.99167e-45,8.53443e-137,1.39253e-78,0,8.7714e-135,2.16676e-34,7.61692e-122,5.01269e-98,1.49159e-87,1.25923e-84,1.05447e-218,2.20796e-126,2.61658e-163,1.43554e-180,6.17527e-45,1.57019e-93,4.66375e-182,0,1.21836e-86,1.69134e-84,6.92044e-87
0.0005,1.46227e-27,0,0,0,7.62848e-78,0,3.7819e-83,1.65818e-116,1.90429e-68,1.39143e-34,4.71161e-78,2.40564e-128,3.55239e-211,2.12379e-122,2.99167e-45,1.52923e-111,1.37236e-73,-2.9837e-296,-8.48006e-123,2.16676e-34,2.34446e-121,5.01277e-98,1.49159e-87,3.87586e-84,-1.35322e-179,-2.27636e-114,4.87132e-146,1.19167e-162,6.17527e-45,9.03381e-75,1.20542e-144,0,2.7167e-68,3.80844e-67,1.35833e-68
0.0006,1.46227e-27,0,0,0,3.3277e-95,0,1.18994e-89,8.25571e-138,6.10241e-94,1.39143e-34,1.44185e-77,1.23674e-146,3.36272e-236,1.77887e-140,2.99167e-45,8.03843e-136,1.31166e-77,0,8.26198e-134,2.16676e-34,7.17455e-121,5.01269e-98,1.49159e-87,1.1861e-83,9.35508e-217,2.07973e-125,2.32148e-161,1.27364e-178,6.17527e-45,1.479e-92,4.13777e-180,0,1.1476e-85,1.59311e-83,6.51852e-86
0.0007,1.46227e-27,0,0,0,1.01594e-94,0,3.63284e-89,7.69484e-137,1.86304e-93,1.39143e-34,4.40194e-77,3.77573e-146,3.13428e-235,5.43085e-140,2.99167e-45,2.4541e-135,4.00446e-77,0,2.52236e-133,2.16676e-34,2.19037e-120,5.01269e-98,1.49159e-87,3.62112e-83,8.71952e-216,6.34937e-125,2.16377e-160,1.18711e-177,6.17527e-45,4.51534e-92,3.85667e-179,0,3.50361e-85,4.86373e-83,1.99009e-85
0.0008,1.46227e-27,0,0,0,3.09745e-94,0,1.10761e-88,7.15279e-136,5.68016e-93,1.39143e-34,1.34209e-76,1.15117e-145,2.91349e-234,1.65579e-139,2.99167e-45,7.48222e-135,1.2209e-76,0,7.69034e-133,2.16676e-34,6.67815e-120,5.01269e-98,1.49159e-87,1.10403e-82,8.10529e-215,1.93584e-124,2.01135e-159,1.10349e-176,6.17527e-45,1.37667e-91,3.585e-178,0,1.0682e-84,1.48289e-82,6.06751e-85
0.0009,1.46227e-27,0,0,0,9.4311e-94,0,3.37321e-88,-1.06422e-133,-1.34305e-87,1.39143e-34,4.08734e-76,3.49944e-145,2.69548e-233,5.03704e-139,2.99167e-45,-1.22802e-130,3.71826e-76,0,2.3421e-132,2.16676e-34,2.03383e-119,5.01269e-98,1.49159e-87,3.36232e-82,-5.83472e-212,5.8956e-124,1.86556e-158,1.02352e-175,6.17527e-45,4.19022e-91,3.32191e-177,0,3.25257e-84,4.51583e-82,1.84749e-84
